Country,Continent,Age Group,Gender,Platform,Request Type,Job Type,Referral Source,Inquiry Time,Date
Uganda,Africa,18-25,Male,Mobile,Job Type Request,AI/ML Engineer,Word of Mouth,02:50,2024-07-21
Ghana,Africa,56+,Male,Desktop,Job Placement,DevOps Engineer,Affiliate,12:52,2024-11-22
India,Asia,26-35,Female,Mobile,Promotional Event,,Affiliate,10:58,2024-11-08
France,Europe,46-55,Other,Desktop,Job Type Request,Software Engineer,Ads,01:02,2024-06-04
Canada,America,18-25,Male,Tablet,Demo Request,,Direct Search,14:23,2024-12-09
Venezuela,America,26-35,Female,Tablet,AI Assistance,,Direct Search,19:26,2024-05-23
Ethiopia,Africa,26-35,Female,Desktop,Demo Request,,Word of Mouth,03:43,2024-07-07
China,Asia,46-55,Female,Mobile,AI Assistance,,Direct Search,02:42,2024-04-18
Nigeria,Africa,36-45,Male,Mobile,Promotional Event,,Ads,02:53,2025-01-26
Norway,Europe,26-35,Male,Desktop,Demo Request,,Affiliate,00:17,2024-03-15
Belgium,Europe,36-45,Male,Mobile,AI Assistance,,Ads,00:22,2025-02-08
Norway,Europe,36-45,Male,Mobile,Job Placement,Software Engineer,Ads,23:26,2024-09-26
South Africa,Africa,46-55,Female,Desktop,Promotional Event,,Affiliate,03:28,2024-09-14
Norway,Europe,18-25,Other,Tablet,Promotional Event,,Word of Mouth,14:41,2024-01-16
Uganda,Africa,46-55,Female,Tablet,AI Assistance,,Direct Search,22:58,2024-08-15
South Africa,Africa,36-45,Other,Mobile,AI Assistance,,Ads,08:39,2024-11-20
Vietnam,Asia,56+,Other,Desktop,Job Type Request,AI/ML Engineer,Affiliate,13:06,2025-02-10
Algeria,Africa,26-35,Female,Desktop,Demo Request,,Direct Search,10:52,2024-08-20
Chile,America,18-25,Female,Desktop,Job Placement,DevOps Engineer,Word of Mouth,04:43,2024-08-30
South Africa,Africa,18-25,Male,Desktop,AI Assistance,,Word of Mouth,04:35,2024-01-31
India,Asia,46-55,Female,Tablet,Job Type Request,Software Engineer,Word of Mouth,19:19,2024-06-29
Tanzania,Africa,56+,Male,Mobile,Job Type Request,Data Scientist,Social Media,11:54,2024-10-11
India,Asia,36-45,Other,Mobile,Job Type Request,AI/ML Engineer,Affiliate,19:43,2024-11-25
Tanzania,Africa,36-45,Male,Mobile,Job Placement,DevOps Engineer,Word of Mouth,11:00,2024-04-02
Norway,Europe,46-55,Male,Mobile,AI Assistance,,Social Media,23:33,2024-04-20
Chile,America,46-55,Female,Mobile,Job Placement,DevOps Engineer,Word of Mouth,18:38,2024-02-13
Kenya,Africa,26-35,Other,Mobile,AI Assistance,,Word of Mouth,14:42,2024-08-05
Venezuela,America,46-55,Female,Desktop,Demo Request,,Affiliate,03:22,2024-08-08
Ghana,Africa,56+,Female,Tablet,Job Placement,Software Engineer,Ads,12:38,2024-01-29
Egypt,Africa,36-45,Male,Mobile,Job Placement,DevOps Engineer,Word of Mouth,03:00,2024-09-11
Mexico,America,26-35,Female,Tablet,Demo Request,,Affiliate,17:53,2024-12-08
India,Asia,46-55,Other,Mobile,Job Type Request,Software Engineer,Direct Search,02:55,2024-06-09
Venezuela,America,46-55,Other,Tablet,Job Type Request,DevOps Engineer,Social Media,12:01,2024-06-15
Norway,Europe,46-55,Other,Desktop,AI Assistance,,Direct Search,03:15,2024-08-11
Ecuador,America,18-25,Female,Desktop,Job Placement,Data Scientist,Word of Mouth,05:04,2024-09-18
Algeria,Africa,56+,Male,Desktop,Job Placement,Data Scientist,Ads,03:09,2024-05-11
United Kingdom,Europe,56+,Male,Tablet,AI Assistance,,Ads,20:31,2024-08-25
Venezuela,America,56+,Female,Tablet,Job Placement,Data Scientist,Direct Search,02:30,2024-08-14
Indonesia,Asia,56+,Male,Desktop,Promotional Event,,Social Media,09:29,2024-08-19
Nigeria,Africa,36-45,Female,Mobile,AI Assistance,,Affiliate,19:32,2024-07-15
Venezuela,America,56+,Other,Mobile,Job Type Request,AI/ML Engineer,Ads,10:38,2024-08-31
Germany,Europe,46-55,Male,Desktop,AI Assistance,,Affiliate,20:11,2024-01-21
Switzerland,Europe,46-55,Other,Tablet,Promotional Event,,Ads,11:23,2024-05-24
Chile,America,36-45,Other,Tablet,AI Assistance,,Word of Mouth,02:21,2024-02-18
Argentina,America,36-45,Other,Tablet,Promotional Event,,Ads,10:05,2024-10-25
Netherlands,Europe,36-45,Other,Tablet,Job Type Request,Data Scientist,Affiliate,22:05,2024-06-07
Colombia,America,26-35,Other,Tablet,Promotional Event,,Social Media,20:42,2024-08-04
China,Asia,36-45,Female,Mobile,Demo Request,,Word of Mouth,15:12,2024-04-25
United Kingdom,Europe,18-25,Female,Mobile,Promotional Event,,Affiliate,23:56,2024-09-26
Ethiopia,Africa,56+,Male,Tablet,Job Type Request,Data Scientist,Ads,05:53,2024-12-20
Switzerland,Europe,18-25,Female,Desktop,Demo Request,,Direct Search,19:18,2025-01-20
Brazil,America,56+,Male,Desktop,Job Type Request,Data Scientist,Word of Mouth,21:36,2024-08-13
Argentina,America,46-55,Other,Tablet,Job Type Request,Data Scientist,Ads,19:08,2024-05-08
Uganda,Africa,36-45,Other,Mobile,Promotional Event,,Social Media,09:05,2025-01-25
Spain,Europe,46-55,Other,Mobile,Job Type Request,Software Engineer,Ads,14:56,2024-06-27
Morocco,Africa,18-25,Female,Tablet,Job Placement,Data Scientist,Direct Search,02:23,2024-04-24
Ethiopia,Africa,18-25,Other,Tablet,Job Placement,Data Scientist,Ads,01:18,2025-02-28
Mexico,America,46-55,Female,Tablet,AI Assistance,,Social Media,00:16,2024-04-20
Belgium,Europe,56+,Other,Desktop,AI Assistance,,Word of Mouth,07:19,2024-03-03
Egypt,Africa,46-55,Other,Tablet,Job Type Request,Software Engineer,Social Media,15:38,2024-10-01
Algeria,Africa,56+,Male,Tablet,Demo Request,,Word of Mouth,13:00,2024-11-10
South Korea,Asia,56+,Female,Mobile,AI Assistance,,Affiliate,11:04,2024-09-26
Morocco,Africa,46-55,Male,Tablet,Job Type Request,DevOps Engineer,Word of Mouth,23:01,2024-07-01
Ethiopia,Africa,26-35,Other,Tablet,AI Assistance,,Affiliate,23:48,2024-06-19
Germany,Europe,36-45,Other,Desktop,Demo Request,,Direct Search,22:30,2024-11-19
United Kingdom,Europe,18-25,Other,Desktop,AI Assistance,,Word of Mouth,06:02,2025-02-09
Germany,Europe,36-45,Female,Tablet,Job Type Request,AI/ML Engineer,Direct Search,08:02,2025-01-20
Spain,Europe,36-45,Male,Tablet,Job Placement,DevOps Engineer,Social Media,11:27,2024-07-23
Chile,America,36-45,Male,Desktop,Job Type Request,DevOps Engineer,Affiliate,08:51,2024-02-12
Canada,America,46-55,Other,Mobile,Promotional Event,,Word of Mouth,10:06,2024-02-10
Indonesia,Asia,36-45,Female,Tablet,Job Type Request,Data Scientist,Direct Search,11:28,2024-01-22
Malaysia,Asia,46-55,Female,Tablet,AI Assistance,,Social Media,21:40,2024-07-26
Pakistan,Asia,26-35,Male,Mobile,Promotional Event,,Direct Search,01:08,2024-02-04
Netherlands,Europe,36-45,Female,Tablet,AI Assistance,,Affiliate,04:43,2024-08-18
Saudi Arabia,Asia,46-55,Male,Tablet,Demo Request,,Affiliate,11:25,2024-06-09
South Korea,Asia,18-25,Male,Tablet,Demo Request,,Direct Search,16:24,2024-10-14
Ghana,Africa,36-45,Other,Desktop,Demo Request,,Affiliate,09:44,2024-09-08
France,Europe,26-35,Male,Desktop,Demo Request,,Direct Search,02:51,2024-12-15
Saudi Arabia,Asia,18-25,Other,Tablet,Job Placement,DevOps Engineer,Ads,22:45,2024-12-24
Netherlands,Europe,56+,Male,Mobile,Demo Request,,Ads,07:50,2024-09-09
Ethiopia,Africa,56+,Other,Desktop,Job Type Request,AI/ML Engineer,Ads,19:56,2024-02-14
Ghana,Africa,46-55,Other,Tablet,Job Type Request,AI/ML Engineer,Direct Search,13:52,2024-10-21
Kenya,Africa,36-45,Other,Mobile,Job Type Request,Product Manager,Affiliate,11:08,2025-02-28
United Kingdom,Europe,46-55,Other,Mobile,AI Assistance,,Affiliate,04:19,2024-03-25
Netherlands,Europe,26-35,Female,Tablet,Job Placement,Software Engineer,Word of Mouth,06:40,2024-10-09
Japan,Asia,36-45,Other,Tablet,AI Assistance,,Affiliate,20:10,2024-10-30
United Kingdom,Europe,56+,Other,Tablet,Job Placement,AI/ML Engineer,Social Media,00:05,2024-01-24
South Korea,Asia,56+,Female,Tablet,AI Assistance,,Direct Search,20:34,2024-05-28
Thailand,Asia,26-35,Other,Desktop,Job Placement,Product Manager,Social Media,22:03,2024-03-21
Chile,America,46-55,Female,Mobile,Job Placement,AI/ML Engineer,Ads,10:55,2025-01-02
Saudi Arabia,Asia,46-55,Male,Desktop,Promotional Event,,Affiliate,03:20,2024-05-03
Canada,America,36-45,Female,Mobile,Demo Request,,Social Media,01:18,2024-07-15
Brazil,America,26-35,Female,Tablet,Job Placement,Data Scientist,Ads,15:32,2024-08-27
Argentina,America,46-55,Male,Mobile,Job Type Request,AI/ML Engineer,Direct Search,07:13,2024-10-25
China,Asia,18-25,Female,Desktop,Promotional Event,,Direct Search,09:34,2024-01-05
Morocco,Africa,26-35,Female,Tablet,Job Placement,Product Manager,Word of Mouth,01:25,2024-01-27
Netherlands,Europe,56+,Female,Mobile,Job Type Request,AI/ML Engineer,Direct Search,17:17,2025-02-26
Kenya,Africa,18-25,Female,Desktop,Job Placement,AI/ML Engineer,Word of Mouth,04:12,2024-11-04
Ecuador,America,18-25,Male,Mobile,Demo Request,,Word of Mouth,15:33,2024-08-21
Norway,Europe,56+,Male,Desktop,Promotional Event,,Word of Mouth,05:25,2024-11-11
Malaysia,Asia,36-45,Other,Tablet,Promotional Event,,Direct Search,22:36,2024-06-02
United States,America,36-45,Female,Tablet,AI Assistance,,Direct Search,18:19,2025-02-11
Tanzania,Africa,46-55,Female,Tablet,Promotional Event,,Affiliate,07:46,2024-01-27
Mexico,America,56+,Other,Tablet,Promotional Event,,Direct Search,04:52,2024-12-14
Germany,Europe,56+,Other,Mobile,Demo Request,,Social Media,14:20,2024-08-02
Sweden,Europe,26-35,Female,Tablet,Promotional Event,,Direct Search,23:46,2024-02-01
Belgium,Europe,26-35,Other,Desktop,Job Type Request,AI/ML Engineer,Direct Search,10:11,2024-08-23
Pakistan,Asia,36-45,Other,Tablet,Job Placement,AI/ML Engineer,Direct Search,06:15,2024-05-22
South Korea,Asia,36-45,Female,Tablet,Demo Request,,Direct Search,10:30,2024-06-27
Indonesia,Asia,18-25,Other,Tablet,Promotional Event,,Direct Search,12:52,2024-06-25
Spain,Europe,18-25,Female,Tablet,AI Assistance,,Word of Mouth,14:41,2024-05-11
Brazil,America,26-35,Other,Desktop,Promotional Event,,Word of Mouth,04:06,2024-11-11
Italy,Europe,18-25,Other,Tablet,Demo Request,,Ads,01:06,2024-07-30
Thailand,Asia,18-25,Other,Mobile,AI Assistance,,Affiliate,05:26,2024-11-30
Peru,America,26-35,Female,Desktop,Job Placement,Software Engineer,Social Media,20:36,2024-04-28
Kenya,Africa,46-55,Male,Mobile,Job Type Request,Product Manager,Ads,23:55,2024-05-28
Nigeria,Africa,36-45,Other,Tablet,AI Assistance,,Word of Mouth,09:29,2024-11-24
Mexico,America,56+,Female,Desktop,Demo Request,,Social Media,10:10,2025-01-09
Argentina,America,26-35,Male,Tablet,Job Placement,DevOps Engineer,Affiliate,21:48,2024-04-08
Norway,Europe,46-55,Female,Tablet,Job Placement,Software Engineer,Direct Search,21:06,2024-04-04
Switzerland,Europe,36-45,Male,Mobile,Job Placement,Product Manager,Ads,14:48,2024-05-16
Indonesia,Asia,56+,Other,Tablet,AI Assistance,,Word of Mouth,20:23,2024-12-20
Germany,Europe,18-25,Female,Desktop,Demo Request,,Direct Search,21:32,2024-12-26
India,Asia,36-45,Female,Tablet,Demo Request,,Ads,04:30,2024-03-19
Venezuela,America,36-45,Female,Tablet,Promotional Event,,Direct Search,17:51,2024-12-06
Italy,Europe,56+,Male,Tablet,Job Type Request,AI/ML Engineer,Word of Mouth,02:58,2024-10-15
Nigeria,Africa,56+,Other,Mobile,Promotional Event,,Affiliate,04:10,2024-06-16
Canada,America,26-35,Other,Tablet,Job Type Request,Software Engineer,Affiliate,14:51,2024-01-29
Mexico,America,56+,Female,Desktop,Promotional Event,,Social Media,17:29,2024-12-10
China,Asia,46-55,Female,Mobile,Demo Request,,Affiliate,02:02,2024-08-04
India,Asia,56+,Male,Mobile,Job Type Request,Software Engineer,Word of Mouth,13:11,2025-01-28
Sweden,Europe,36-45,Female,Desktop,Job Type Request,Product Manager,Social Media,21:42,2024-10-03
Netherlands,Europe,18-25,Male,Tablet,Job Type Request,AI/ML Engineer,Ads,23:14,2024-01-02
Ghana,Africa,46-55,Other,Tablet,Promotional Event,,Direct Search,17:24,2025-02-25
Italy,Europe,46-55,Female,Mobile,Job Placement,Data Scientist,Social Media,01:51,2024-12-04
Venezuela,America,18-25,Male,Mobile,AI Assistance,,Social Media,19:02,2024-08-16
Egypt,Africa,18-25,Female,Desktop,Demo Request,,Affiliate,06:48,2025-02-01
Kenya,Africa,56+,Female,Mobile,Promotional Event,,Word of Mouth,18:38,2025-01-30
South Korea,Asia,36-45,Male,Tablet,Promotional Event,,Ads,13:19,2024-05-20
Algeria,Africa,56+,Other,Mobile,Job Type Request,AI/ML Engineer,Direct Search,01:22,2024-11-25
Ecuador,America,36-45,Other,Desktop,Job Type Request,Data Scientist,Word of Mouth,12:11,2025-01-21
Brazil,America,26-35,Female,Tablet,Demo Request,,Direct Search,01:35,2024-07-30
Ecuador,America,56+,Male,Desktop,Demo Request,,Word of Mouth,06:21,2024-11-27
Uganda,Africa,36-45,Male,Tablet,Demo Request,,Social Media,08:24,2024-12-10
South Africa,Africa,26-35,Other,Tablet,Promotional Event,,Ads,15:13,2024-06-19
China,Asia,26-35,Male,Tablet,AI Assistance,,Direct Search,07:44,2024-11-05
Sweden,Europe,26-35,Other,Desktop,Job Placement,Product Manager,Direct Search,17:41,2024-07-02
Indonesia,Asia,36-45,Other,Desktop,Job Type Request,Software Engineer,Direct Search,10:58,2024-04-14
Saudi Arabia,Asia,46-55,Male,Tablet,Demo Request,,Ads,00:16,2024-10-10
Argentina,America,26-35,Male,Desktop,Demo Request,,Direct Search,18:53,2024-05-05
Ecuador,America,36-45,Female,Desktop,Job Type Request,Product Manager,Ads,23:50,2024-06-29
United Kingdom,Europe,56+,Female,Mobile,Promotional Event,,Social Media,16:02,2024-02-08
Nigeria,Africa,46-55,Male,Tablet,Demo Request,,Social Media,22:09,2024-01-05
Belgium,Europe,46-55,Female,Mobile,Promotional Event,,Affiliate,15:42,2024-09-06
Nigeria,Africa,56+,Other,Desktop,AI Assistance,,Social Media,16:46,2024-05-20
China,Asia,56+,Other,Tablet,Job Type Request,Data Scientist,Social Media,03:33,2024-03-17
Italy,Europe,56+,Other,Desktop,Job Placement,DevOps Engineer,Direct Search,02:23,2024-07-26
Venezuela,America,26-35,Other,Mobile,Job Placement,Software Engineer,Social Media,02:25,2024-07-13
Ecuador,America,46-55,Male,Tablet,AI Assistance,,Ads,02:31,2024-08-10
Malaysia,Asia,18-25,Other,Mobile,Demo Request,,Ads,22:56,2024-10-17
Argentina,America,18-25,Male,Tablet,Job Placement,AI/ML Engineer,Affiliate,21:02,2024-04-01
China,Asia,26-35,Other,Mobile,Job Type Request,Software Engineer,Word of Mouth,05:36,2024-05-03
Ecuador,America,36-45,Female,Tablet,Demo Request,,Social Media,16:47,2024-06-26
South Africa,Africa,46-55,Male,Mobile,Job Placement,AI/ML Engineer,Affiliate,19:25,2025-01-31
China,Asia,36-45,Female,Desktop,Demo Request,,Word of Mouth,17:24,2024-08-09
Norway,Europe,46-55,Male,Tablet,Job Placement,Data Scientist,Social Media,02:17,2024-03-19
Mexico,America,46-55,Female,Desktop,AI Assistance,,Social Media,00:19,2024-08-15
Indonesia,Asia,18-25,Male,Mobile,Demo Request,,Direct Search,14:35,2024-10-11
Canada,America,18-25,Male,Desktop,Promotional Event,,Social Media,19:38,2025-02-05
